Ingredient,Preference,Type,Status,Confidence,Verify label,Notes
Chili garlic sauce,Fructose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; sweetened sauce; moderate/variable histamine; garlic/onion family is high-FODMAP; processed / branded
Chili garlic sauce,Histamine intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,often contains soy - verify; sweetened sauce; moderate/variable histamine; garlic/onion family is high-FODMAP; processed / branded
Chili garlic sauce,Whole foods,Diet,Verify against label,Medium,Yes,often contains soy - verify; sweetened sauce; moderate/variable histamine; garlic/onion family is high-FODMAP; processed / branded
Chili garlic sauce,Vegan whole food,Diet,Verify against label,Medium,Yes,often contains soy - verify; sweetened sauce; moderate/variable histamine; garlic/onion family is high-FODMAP; processed / branded
Chili garlic sauce,Low FODMAP / IBS,Diet,Excluded,Medium,Yes,often contains soy - verify; sweetened sauce; moderate/variable histamine; garlic/onion family is high-FODMAP; processed / branded
Chili lime seasoning (Tajín),Citrus allergy,Allergy/Intolerance,Excluded,Medium,Yes,citrus; moderate/variable histamine; blends/stocks usually contain onion/garlic; processed / branded
Chili lime seasoning (Tajín),Histamine intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,citrus; moderate/variable histamine; blends/stocks usually contain onion/garlic; processed / branded
Chili lime seasoning (Tajín),Whole foods,Diet,Excluded,Medium,Yes,citrus; moderate/variable histamine; blends/stocks usually contain onion/garlic; processed / branded
Chili lime seasoning (Tajín),Vegan whole food,Diet,Excluded,Medium,Yes,citrus; moderate/variable histamine; blends/stocks usually contain onion/garlic; processed / branded
Chili lime seasoning (Tajín),Low FODMAP / IBS,Diet,Verify against label,Medium,Yes,citrus; moderate/variable histamine; blends/stocks usually contain onion/garlic; processed / branded
Chili powder,Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,moderate/variable histamine
Chili seasoning mix,Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,moderate/variable histamine; blends/stocks usually contain onion/garlic; processed / branded
Chili seasoning mix,Whole foods,Diet,Verify against label,Low,Yes,moderate/variable histamine; blends/stocks usually contain onion/garlic; processed / branded
Chili seasoning mix,Vegan whole food,Diet,Verify against label,Low,Yes,moderate/variable histamine; blends/stocks usually contain onion/garlic; processed / branded
Chili seasoning mix,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,moderate/variable histamine; blends/stocks usually contain onion/garlic; processed / branded
Chipotle chili powder,Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,moderate/variable histamine
"Chipotle peppers in adobo sauce, canned",Whole foods,Diet,Verify against label,Low,Yes,processed / branded
"Chipotle peppers in adobo sauce, canned",Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
"Chives, fresh, chopped",Low FODMAP / IBS,Diet,Excluded,High,No,garlic/onion family is high-FODMAP
Cinnamon,Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,moderate/variable histamine
Cinnamon stick,Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,moderate/variable histamine
Club soda,Whole foods,Diet,Verify against label,Low,Yes,processed / branded
Club soda,Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
Cocoa powder,Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,moderate/variable histamine
Cold brew coffee concentrate,Whole foods,Diet,Verify against label,Low,Yes,processed / branded
Cold brew coffee concentrate,Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
Confectioner's/powdered sugar,Fructose intolerance,Allergy/Intolerance,Excluded,Medium,Yes,contains sucrose/fructose; grain/legume/refined; added sugar / refined carb; added sugar; processed / branded
Confectioner's/powdered sugar,Paleo friendly,Diet,Excluded,Medium,Yes,contains sucrose/fructose; grain/legume/refined; added sugar / refined carb; added sugar; processed / branded
Confectioner's/powdered sugar,Whole foods,Diet,Verify against label,Medium,Yes,contains sucrose/fructose; grain/legume/refined; added sugar / refined carb; added sugar; processed / branded
Confectioner's/powdered sugar,Vegan whole food,Diet,Verify against label,Medium,Yes,contains sucrose/fructose; grain/legume/refined; added sugar / refined carb; added sugar; processed / branded
Confectioner's/powdered sugar,Diabetes friendly,Diet,Excluded,Medium,Yes,contains sucrose/fructose; grain/legume/refined; added sugar / refined carb; added sugar; processed / branded
Confectioner's/powdered sugar,PCOS friendly,Diet,Excluded,Medium,Yes,contains sucrose/fructose; grain/legume/refined; added sugar / refined carb; added sugar; processed / branded
Cooking red wine,Sulfite allergy,Allergy/Intolerance,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking red wine,Histamine intolerance,Allergy/Intolerance,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking red wine,Halal,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking red wine,Paleo friendly,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking red wine,Whole foods,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking red wine,Vegan whole food,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking red wine,Pregnancy friendly,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking white wine,Sulfite allergy,Allergy/Intolerance,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking white wine,Histamine intolerance,Allergy/Intolerance,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking white wine,Halal,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking white wine,Paleo friendly,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking white wine,Whole foods,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking white wine,Vegan whole food,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Cooking white wine,Pregnancy friendly,Diet,Excluded,High,No,contains alcohol; alcohol; wine/beer = sulfites
Corn starch,Paleo friendly,Diet,Excluded,Medium,Yes,grain/legume/refined; refined carb; processed / branded
Corn starch,Whole foods,Diet,Verify against label,Medium,Yes,grain/legume/refined; refined carb; processed / branded
Corn starch,Vegan whole food,Diet,Verify against label,Medium,Yes,grain/legume/refined; refined carb; processed / branded
Corn starch,Diabetes friendly,Diet,Verify against label,Medium,Yes,grain/legume/refined; refined carb; processed / branded
Corn starch,PCOS friendly,Diet,Verify against label,Medium,Yes,grain/legume/refined; refined carb; processed / branded
Cream of tartar,Whole foods,Diet,Verify against label,Low,Yes,processed / branded
Cream of tartar,Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
"Creatine (100% Creapure), Protein Works",Whole foods,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Creatine (100% Creapure), Protein Works",Vegan whole food,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Creatine (100% Creapure), Protein Works",Supplement free,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Creatine (100% Creapure), Protein Works",Pregnancy friendly,Diet,Verify against label,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Creatine (100% Creapure), Protein Works",Family friendly,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
Creatine powder,Whole foods,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
Creatine powder,Vegan whole food,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
Creatine powder,Supplement free,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
Creatine powder,Pregnancy friendly,Diet,Verify against label,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
Creatine powder,Family friendly,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
Curry powder,Mustard allergy,Allergy/Intolerance,Verify against label,Low,Yes,blends/sauces often contain mustard; blends/stocks usually contain onion/garlic; processed / branded
Curry powder,Whole foods,Diet,Verify against label,Low,Yes,blends/sauces often contain mustard; blends/stocks usually contain onion/garlic; processed / branded
Curry powder,Vegan whole food,Diet,Verify against label,Low,Yes,blends/sauces often contain mustard; blends/stocks usually contain onion/garlic; processed / branded
Curry powder,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,blends/sauces often contain mustard; blends/stocks usually contain onion/garlic; processed / branded
Cuttlefish ink,Shellfish allergy,Allergy/Intolerance,Excluded,High,No,cephalopod (mollusc); shellfish not kosher
Cuttlefish ink,Vegan,Diet,Excluded,High,No,cephalopod (mollusc); shellfish not kosher
Cuttlefish ink,Vegetarian,Diet,Excluded,High,No,cephalopod (mollusc); shellfish not kosher
Cuttlefish ink,Kosher,Diet,Excluded,High,No,cephalopod (mollusc); shellfish not kosher
Cuttlefish ink,Vegan whole food,Diet,Excluded,High,No,cephalopod (mollusc); shellfish not kosher
Dijon mustard,Mustard allergy,Allergy/Intolerance,Excluded,High,No,mustard
Distilled vinegar,Sulfite allergy,Allergy/Intolerance,Verify against label,Medium,Yes,may contain added sulfites; fermented/aged/vinegar
Distilled vinegar,Histamine intolerance,Allergy/Intolerance,Excluded,Medium,Yes,may contain added sulfites; fermented/aged/vinegar
Dry yeast,Histamine intolerance,Allergy/Intolerance,Excluded,Medium,Yes,fermented/aged/vinegar; processed / branded
Dry yeast,Whole foods,Diet,Verify against label,Medium,Yes,fermented/aged/vinegar; processed / branded
Dry yeast,Vegan whole food,Diet,Verify against label,Medium,Yes,fermented/aged/vinegar; processed / branded
Enchilada spice mix,Whole foods,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Enchilada spice mix,Vegan whole food,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Enchilada spice mix,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Everything bagel seasoning,Sesame allergy,Allergy/Intolerance,Excluded,Medium,Yes,asafetida powder is cut with wheat flour; used as onion/garlic substitute; contains sesame seeds; wheat; blends/stocks usually contain onion/garlic; processed / branded
Everything bagel seasoning,Wheat allergy,Allergy/Intolerance,Excluded,Medium,Yes,asafetida powder is cut with wheat flour; used as onion/garlic substitute; contains sesame seeds; wheat; blends/stocks usually contain onion/garlic; processed / branded
Everything bagel seasoning,Gluten intolerance,Allergy/Intolerance,Excluded,Medium,Yes,asafetida powder is cut with wheat flour; used as onion/garlic substitute; contains sesame seeds; wheat; blends/stocks usually contain onion/garlic; processed / branded
Everything bagel seasoning,Whole foods,Diet,Verify against label,Medium,Yes,asafetida powder is cut with wheat flour; used as onion/garlic substitute; contains sesame seeds; wheat; blends/stocks usually contain onion/garlic; processed / branded
Everything bagel seasoning,Vegan whole food,Diet,Verify against label,Medium,Yes,asafetida powder is cut with wheat flour; used as onion/garlic substitute; contains sesame seeds; wheat; blends/stocks usually contain onion/garlic; processed / branded
Everything bagel seasoning,Low FODMAP / IBS,Diet,Verify against label,Medium,Yes,asafetida powder is cut with wheat flour; used as onion/garlic substitute; contains sesame seeds; wheat; blends/stocks usually contain onion/garlic; processed / branded
Fajita spice mix,Whole foods,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Fajita spice mix,Vegan whole food,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Fajita spice mix,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Fennel seeds,Pregnancy friendly,Diet,Verify against label,Low,Yes,herbal - check pregnancy safety
Fenugreek leaves,Pregnancy friendly,Diet,Verify against label,Low,Yes,herbal - check pregnancy safety
Fenugreek seeds,Pregnancy friendly,Diet,Verify against label,Low,Yes,herbal - check pregnancy safety
Fish broth,Fish allergy,Allergy/Intolerance,Excluded,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Celery allergy,Allergy/Intolerance,Verify against label,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Wheat allergy,Allergy/Intolerance,Verify against label,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Gluten intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Vegan,Diet,Excluded,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Vegetarian,Diet,Excluded,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Pescatarian,Diet,Verify against label,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,No red meat,Diet,Verify against label,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,No pork,Diet,Verify against label,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Halal,Diet,Verify against label,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Kosher,Diet,Verify against label,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Vegan whole food,Diet,Excluded,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish broth,Low FODMAP / IBS,Diet,Verify against label,Medium,Yes,fish-based; stock/broth often contains wheat/gluten; savory blends/stocks often contain celery; may be meat stock; meat source/process unknown; blends/stocks usually contain onion/garlic
Fish sauce,Fish allergy,Allergy/Intolerance,Excluded,Medium,Yes,fish-based; some fish sauce contains shrimp; often contains soy - verify; fermented/aged/vinegar; processed / branded
Fish sauce,Shellfish allergy,Allergy/Intolerance,Verify against label,Medium,Yes,fish-based; some fish sauce contains shrimp; often contains soy - verify; fermented/aged/vinegar; processed / branded
Fish sauce,Soy allergy,Allergy/Intolerance,Verify against label,Medium,Yes,fish-based; some fish sauce contains shrimp; often contains soy - verify; fermented/aged/vinegar; processed / branded
Fish sauce,Histamine intolerance,Allergy/Intolerance,Excluded,Medium,Yes,fish-based; some fish sauce contains shrimp; often contains soy - verify; fermented/aged/vinegar; processed / branded
Fish sauce,Vegan,Diet,Excluded,Medium,Yes,fish-based; some fish sauce contains shrimp; often contains soy - verify; fermented/aged/vinegar; processed / branded
Fish sauce,Vegetarian,Diet,Excluded,Medium,Yes,fish-based; some fish sauce contains shrimp; often contains soy - verify; fermented/aged/vinegar; processed / branded
Fish sauce,Whole foods,Diet,Verify against label,Medium,Yes,fish-based; some fish sauce contains shrimp; often contains soy - verify; fermented/aged/vinegar; processed / branded
Fish sauce,Vegan whole food,Diet,Excluded,Medium,Yes,fish-based; some fish sauce contains shrimp; often contains soy - verify; fermented/aged/vinegar; processed / branded
Fish spice,Fish allergy,Allergy/Intolerance,Verify against label,Low,Yes,spice blend FOR fish - verify it has no fish/shellfish; processed / branded
Fish spice,Whole foods,Diet,Verify against label,Low,Yes,spice blend FOR fish - verify it has no fish/shellfish; processed / branded
Fish spice,Vegan whole food,Diet,Verify against label,Low,Yes,spice blend FOR fish - verify it has no fish/shellfish; processed / branded
Five-spice powder,Whole foods,Diet,Verify against label,Low,Yes,processed / branded
Five-spice powder,Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
"Flasty flavor powder, any flavor, #Sinob",Milk allergy,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flasty flavor powder, any flavor, #Sinob",Lactose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flasty flavor powder, any flavor, #Sinob",Whole foods,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flasty flavor powder, any flavor, #Sinob",Vegan whole food,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flasty flavor powder, any flavor, #Sinob",Supplement free,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flasty flavor powder, any flavor, #Sinob",Pregnancy friendly,Diet,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flasty flavor powder, any flavor, #Sinob",Family friendly,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor drops, MyProtein",Whole foods,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor drops, MyProtein",Vegan whole food,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor drops, MyProtein",Supplement free,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor drops, MyProtein",Pregnancy friendly,Diet,Verify against label,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor drops, MyProtein",Family friendly,Diet,Excluded,Medium,Yes,dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor powder Flav'n Tasty, ESN",Milk allergy,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor powder Flav'n Tasty, ESN",Lactose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor powder Flav'n Tasty, ESN",Whole foods,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor powder Flav'n Tasty, ESN",Vegan whole food,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor powder Flav'n Tasty, ESN",Supplement free,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor powder Flav'n Tasty, ESN",Pregnancy friendly,Diet,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor powder Flav'n Tasty, ESN",Family friendly,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor Powder, any flavor, GOT7 Nutrition",Milk allergy,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor Powder, any flavor, GOT7 Nutrition",Lactose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor Powder, any flavor, GOT7 Nutrition",Whole foods,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor Powder, any flavor, GOT7 Nutrition",Vegan whole food,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor Powder, any flavor, GOT7 Nutrition",Supplement free,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor Powder, any flavor, GOT7 Nutrition",Pregnancy friendly,Diet,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavor Powder, any flavor, GOT7 Nutrition",Family friendly,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavup, low calorie flavor powder, Evo",Milk allergy,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavup, low calorie flavor powder, Evo",Lactose intolerance,Allergy/Intolerance,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavup, low calorie flavor powder, Evo",Whole foods,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavup, low calorie flavor powder, Evo",Vegan whole food,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavup, low calorie flavor powder, Evo",Supplement free,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavup, low calorie flavor powder, Evo",Pregnancy friendly,Diet,Verify against label,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Flavup, low calorie flavor powder, Evo",Family friendly,Diet,Excluded,Medium,Yes,flavor powders may contain milk; dietary supplement / protein powder; protein supplement; supplements discouraged in pregnancy
"Food coloring, any color",Whole foods,Diet,Verify against label,Low,Yes,processed / branded
"Food coloring, any color",Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
"Frederico der ""Italian Allrounder"", More Nutrition",Whole foods,Diet,Excluded,High,No,processed / branded
"Frederico der ""Italian Allrounder"", More Nutrition",Vegan whole food,Diet,Excluded,High,No,processed / branded
Fresh yeast,Histamine intolerance,Allergy/Intolerance,Excluded,Medium,Yes,fermented/aged/vinegar; processed / branded
Fresh yeast,Whole foods,Diet,Verify against label,Medium,Yes,fermented/aged/vinegar; processed / branded
Fresh yeast,Vegan whole food,Diet,Verify against label,Medium,Yes,fermented/aged/vinegar; processed / branded
Garam masala,Whole foods,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Garam masala,Vegan whole food,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
Garam masala,Low FODMAP / IBS,Diet,Verify against label,Low,Yes,blends/stocks usually contain onion/garlic; processed / branded
"Garlic clove, finely chopped",Low FODMAP / IBS,Diet,Excluded,High,No,garlic/onion family is high-FODMAP
"Garlic clove, minced",Low FODMAP / IBS,Diet,Excluded,High,No,garlic/onion family is high-FODMAP
"Garlic clove, sliced",Low FODMAP / IBS,Diet,Excluded,High,No,garlic/onion family is high-FODMAP
"Garlic clove, whole",Low FODMAP / IBS,Diet,Excluded,High,No,garlic/onion family is high-FODMAP
Garlic paste,Low FODMAP / IBS,Diet,Excluded,High,No,garlic/onion family is high-FODMAP
Garlic powder,Low FODMAP / IBS,Diet,Excluded,High,No,garlic/onion family is high-FODMAP
Garlic salt,Low FODMAP / IBS,Diet,Excluded,High,No,garlic/onion family is high-FODMAP
Gelatin leaves/sheets,Vegan,Diet,Excluded,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin leaves/sheets,Vegetarian,Diet,Excluded,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin leaves/sheets,Pescatarian,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin leaves/sheets,No red meat,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin leaves/sheets,No pork,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin leaves/sheets,Halal,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin leaves/sheets,Kosher,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin leaves/sheets,Whole foods,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin leaves/sheets,Vegan whole food,Diet,Excluded,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin powder,Vegan,Diet,Excluded,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin powder,Vegetarian,Diet,Excluded,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin powder,Pescatarian,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin powder,No red meat,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin powder,No pork,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin powder,Halal,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin powder,Kosher,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin powder,Whole foods,Diet,Verify against label,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gelatin powder,Vegan whole food,Diet,Excluded,Medium,Yes,animal gelatin; gelatin source unknown; gelatin is often porcine; needs halal-certified gelatin; needs kosher gelatin; processed / branded
Gingerbread spice,Whole foods,Diet,Verify against label,Low,Yes,processed / branded
Gingerbread spice,Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
Green chili,Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,moderate/variable histamine
"Green chili pepper, raw, chopped",Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,moderate/variable histamine
Green food coloring,Whole foods,Diet,Verify against label,Low,Yes,processed / branded
Green food coloring,Vegan whole food,Diet,Verify against label,Low,Yes,processed / branded
Green onion/scallion,Low FODMAP / IBS,Diet,Excluded,High,No,garlic/onion family is high-FODMAP
"Guajillo chile, dried",Sulfite allergy,Allergy/Intolerance,Verify against label,Low,Yes,may contain added sulfites; moderate/variable histamine
"Guajillo chile, dried",Histamine intolerance,Allergy/Intolerance,Verify against label,Low,Yes,may contain added sulfites; moderate/variable histamine
